,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
0,1115,Chief executives and senior officials,0,18,43,32.96209944769902,99400,75100,24200,1674.2,1990.9,1820.7,2354.4,1448.2,1675.1,0.243460765
1,1121,Production managers and directors in manufacturing,0,5,55,39.05124837953327,309200,269700,39500,946.4,985.1,970.5,1164.5,810.8,964.1,0.12774903
2,1122,Production managers and directors in construction,0,4,50,35.4682957019364,199700,178700,21000,895.8,956.9,915.1,1006.9,756.7,847.2,0.105157737
3,1131,Financial managers and directors,1,4,53,37.58324094593227,339100,199800,139300,1239.5,1326.9,1381.9,1621.1,1031.0,1191.4,0.410793276
4,1133,Purchasing managers and directors,0,1,41,28.999999999999996,61100,38400,22700,949.1,1025.3,958.2,1084.9,874.8,971.2,0.371522095
5,1135,Human resource managers and directors,0,5,41,29.20616373302046,214100,81500,132600,922.5,959.3,958.2,1100.8,900.5,981.8,0.619336759
6,1161,Managers and directors in transport and distribution,0,11,42,30.7001628660175,86700,71500,15200,751.5,857.5,782.0,879.4,667.7,865.6,0.175317186
7,1162,Managers and directors in storage and warehousing,0,2,52,36.796738985948195,114700,88900,25800,576.5,617.5,593.3,651.5,534.8,598.1,0.224934612
8,1173,"Officers in fire, ambulance, prison and related services",0,11,60,43.13351365237939,11200,9600,-1,826.0,875.9,834.5,966.9,723.2,745.6,0.0
9,1181,Health services and public health managers and directors,0,34,45,39.881073205218534,71500,22200,49400,1020.6,993.7,1076.5,1131.2,936.1,1038.7,0.690909091
10,1223,Restaurant and catering establishment managers and proprietors,0,10,78,55.60575509783137,141300,76200,65100,500.9,496.9,536.6,577.5,469.4,499.3,0.460721868
11,1224,Publicans and managers of licensed premises,0,10,78,55.60575509783137,38800,19800,19000,537.8,490.5,538.7,567.2,515.0,542.5,0.489690722
12,1251,"Property, housing and estate managers",0,2,51,36.09016486523718,198200,117200,81100,677.7,701.5,737.2,808.3,584.2,658.1,0.409182644
13,1253,Hairdressing and beauty salon managers and proprietors,0,32,92,68.87670143089025,21700,3900,17800,457.7,421.5,-1.0,466.3,461.5,490.6,0.820276498
14,2111,Chemical scientists,0,8,58,41.4004830889689,26700,19100,7600,656.9,728.2,656.7,744.5,601.6,723.1,0.284644195
15,2112,Biological scientists and biochemists,0,8,51,36.50342449688796,78600,32300,46300,747.0,746.0,756.9,841.6,740.0,775.8,0.589058524
16,2113,Physical scientists,0,5,47,33.421549934136806,31000,23900,7100,865.1,947.8,857.9,923.6,875.1,1058.3,0.229032258
